"","MONTH","BOROUGH","COMMUNITYDISTRICT","REFUSETONSCOLLECTED","PAPERTONSCOLLECTED","MGPTONSCOLLECTED","RESORGANICSTONS","SCHOOLORGANICTONS","LEAVESORGANICTONS","XMASTREETONS","BOROUGH_ID"
"2580","2020 / 01","Queens","01",3935.7,662.1,696.1,NA,NA,NA,42,4
"2581","2020 / 01","Brooklyn","16",2022.3,125.5,188,23.7,NA,9.2,3.8,3
"2582","2020 / 01","Queens","02",2927,461.1,438.2,75,66.8,NA,22.8,4
"2583","2020 / 01","Brooklyn","02",2450.4,582.7,463.8,80.7,42.1,NA,52.5,3
"2584","2020 / 01","Staten Island","02",3946.9,586,534.8,NA,46.2,NA,26.7,5
"2585","2020 / 02","Brooklyn","14",4062.5,429.5,360.5,NA,58.4,NA,NA,3
"2586","2020 / 02","Brooklyn","05",3871.4,212,343.6,NA,NA,NA,NA,3
"2587","2020 / 02","Bronx","04",3589.5,212.3,335.3,11.6,NA,NA,NA,2
"2588","2020 / 02","Brooklyn","02",2255,479.1,382.4,62,27.6,NA,NA,3
"2589","2020 / 02","Brooklyn","16",1796.4,94.7,146.8,18,NA,NA,NA,3
"2590","2020 / 02","Queens","14",2367,212.7,234,49.8,NA,NA,NA,4
"2591","2020 / 03","Queens","11",2685.3,459.8,468.4,137.6,38.7,NA,NA,4
"2592","2020 / 03","Brooklyn","03",3943.5,392.5,408.3,NA,NA,NA,NA,3
"2593","2020 / 03","Queens","04",3948.8,315.7,428,NA,NA,NA,NA,4
"2594","2020 / 03","Brooklyn","07",3052.6,421.9,425.8,57.1,68.5,NA,NA,3
"2595","2020 / 03","Bronx","05",3391.8,206.3,335.9,NA,NA,NA,NA,2
"2596","2020 / 04","Brooklyn","02",2007.9,450.1,466,81.2,NA,NA,NA,3
"2597","2020 / 04","Brooklyn","06",1865,500.2,479.3,105.5,NA,NA,NA,3
"2598","2020 / 04","Queens","01",3888.5,607.4,768.9,NA,NA,NA,NA,4
"2599","2020 / 04","Manhattan","08",3609.6,856.8,790.8,10.8,NA,NA,NA,1
"2600","2020 / 04","Manhattan","02",1259.9,316.3,308.2,NA,NA,NA,NA,1
"2601","2020 / 04","Queens","03",4465.5,335.6,567.5,NA,NA,NA,NA,4
"2602","2020 / 04","Bronx","02",1480.8,102,170.9,NA,NA,NA,NA,2
"2603","2020 / 05","Manhattan","11",2158.3,218.7,219.7,NA,NA,NA,NA,1
"2604","2020 / 05","Queens","13",6563.7,474,1065.8,19.3,NA,NA,NA,4
"2605","2020 / 05","Bronx","01",2225.8,150.9,159.2,0.4,NA,NA,NA,2
"2606","2020 / 05","Manhattan","03",2674.8,292,346.9,NA,NA,NA,NA,1
"2607","2020 / 05","Staten Island","01",6495.4,651.4,925.8,12.3,NA,NA,NA,5
"2608","2020 / 05","Brooklyn","07",3395.3,415.9,440,1.3,NA,NA,NA,3
"2609","2020 / 06","Brooklyn","17",5294.7,392.5,607.7,NA,NA,NA,NA,3
"2610","2020 / 06","Bronx","11",3745.5,345.4,521.1,NA,NA,NA,NA,2
"2611","2020 / 06","Brooklyn","06",2357.8,544.4,488,NA,NA,NA,NA,3
"2612","2020 / 06","Queens","04",4630.9,402.8,573.4,NA,NA,NA,NA,4
"2613","2020 / 06","Brooklyn","04",3813,373,501.8,NA,NA,NA,NA,3
"2614","2020 / 06","Bronx","01",2430.3,207.1,209.4,NA,NA,NA,NA,2
"2615","2020 / 07","Staten Island","03",6772.4,900.7,960.4,NA,NA,NA,NA,5
"2616","2020 / 07","Brooklyn","18",6732.9,679.8,857.7,NA,NA,NA,NA,3
"2617","2020 / 07","Brooklyn","10",3906.2,532.2,555,NA,NA,NA,NA,3
"2618","2020 / 07","Manhattan","06",2670.1,528.7,456.1,NA,NA,NA,NA,1
"2619","2020 / 07","Brooklyn","15",4937.5,599.2,598.6,NA,NA,NA,NA,3
"2620","2020 / 07","Manhattan","10",3011.6,326.4,325.3,NA,NA,NA,NA,1
"2621","2020 / 07","Manhattan","03",3056.7,380.5,394.2,NA,NA,NA,NA,1
"2622","2020 / 07","Queens","09",4904.7,517,770.5,NA,NA,NA,NA,4
"2623","2020 / 07","Bronx","05",4120.4,331.8,435.4,NA,NA,NA,NA,2
"2624","2020 / 08","Brooklyn","10",3815.1,484.6,515.6,NA,NA,NA,NA,3
"2625","2020 / 08","Brooklyn","14",5137.8,474.8,506.7,NA,NA,NA,NA,3
"2626","2020 / 08","Brooklyn","07",3722.6,424.6,457.7,NA,NA,NA,NA,3
"2627","2020 / 08","Manhattan","08",4348.4,866.6,722.1,NA,NA,NA,NA,1
"2628","2020 / 08","Brooklyn","01",5249.8,745.7,588.6,NA,NA,NA,NA,3
"2629","2020 / 08","Bronx","11",3655.9,281.5,468,NA,NA,NA,NA,2
"2630","2020 / 08","Staten Island","02",5021.5,533.7,710.5,NA,NA,NA,NA,5
"2631","2020 / 08","Manhattan","03",3037.6,345.7,332.7,NA,NA,NA,NA,1
"2632","2020 / 08","Queens","06",3180.1,421.7,424.6,NA,NA,NA,NA,4
"2633","2020 / 09","Queens","13",6561.8,520,985.4,NA,NA,NA,NA,4
"2634","2020 / 09","Bronx","11",3443.4,281.5,447.6,NA,NA,NA,NA,2
"2635","2020 / 09","Brooklyn","13",2349.3,204.3,261.1,NA,NA,NA,NA,3
"2636","2020 / 10","Manhattan","03",2911,413.2,359.6,NA,NA,NA,NA,1
"2637","2020 / 10","Manhattan","06",2851.2,621.8,482.4,NA,NA,NA,NA,1
"2638","2020 / 10","Bronx","02",1736.9,157.1,199.5,NA,NA,NA,NA,2
"2639","2020 / 11","Bronx","12",4292.3,385.7,571.6,NA,NA,NA,NA,2
"2640","2020 / 11","Queens","07",7212,760.5,760.6,NA,NA,NA,NA,4
"2641","2020 / 11","Brooklyn","12",6513.2,655.3,359.1,NA,NA,NA,NA,3
"2642","2020 / 11","Queens","01",4221.7,641.8,657,NA,NA,NA,NA,4
"2643","2020 / 11","Queens","04",4148.6,335.9,546.4,NA,NA,NA,NA,4
"2644","2020 / 11","Manhattan","12",4980.6,432.5,474.8,NA,NA,NA,NA,1
"2645","2020 / 11","Manhattan","06",2567.4,456.3,356,NA,NA,NA,NA,1
"2646","2020 / 11","Brooklyn","02",2638.5,500.7,422.8,NA,NA,NA,NA,3
"2647","2020 / 12","Queens","07",6902.1,949.7,896.9,NA,NA,NA,NA,4
"2648","2020 / 12","Manhattan","11",2322.7,276.6,235.9,NA,NA,NA,NA,1
"2649","2020 / 12","Bronx","12",4174,488.3,684.6,NA,NA,NA,NA,2
"2650","2020 / 12","Queens","05",5191.7,794.5,918.7,NA,NA,NA,NA,4
"2651","2020 / 12","Manhattan","10",2843.8,368.7,322.5,NA,NA,13.5,NA,1
"2652","2020 / 12","Manhattan","07",4467.1,1168.4,844,NA,NA,NA,NA,1
"2653","2020 / 12","Manhattan","01",1252.2,401.5,268.2,NA,NA,NA,NA,1
"2854","2020 / 11","Queens","7A",NA,NA,NA,NA,NA,4.5,NA,NA
"5397","2020 / 01","Brooklyn","05",4358.6,288.2,459.3,NA,NA,NA,4.6,3
"5398","2020 / 01","Queens","03",4658.7,410.6,540.7,NA,NA,NA,29.5,4
"5399","2020 / 01","Brooklyn","18",5060.7,591.8,644.6,NA,NA,NA,13.8,3
"5400","2020 / 01","Brooklyn","07",3132.2,444.3,435.2,58.5,132.5,NA,28.2,3
"5401","2020 / 01","Queens","07",6075.7,843.4,788.1,109.9,NA,NA,82.8,4
"5402","2020 / 01","Queens","11",2615.7,497.4,456.6,120.5,82.1,NA,35,4
"5403","2020 / 01","Bronx","11",2821.3,312.8,374.3,57.2,NA,NA,17.2,2
"5404","2020 / 01","Queens","04",3990.8,383.7,487.1,NA,NA,NA,15.2,4
"5405","2020 / 01","Bronx","04",3877.7,236.8,388,14.6,NA,NA,6.2,2
"5406","2020 / 01","Manhattan","03",2857,381.9,365.6,NA,53.9,NA,20,1
"5407","2020 / 01","Manhattan","05",1285.2,298.7,201,NA,NA,NA,22.4,1
"5408","2020 / 01","Brooklyn","06",2081.9,611.8,473.8,115.5,52.1,NA,70.6,3
"5409","2020 / 01","Bronx","09",3664.2,237,365.6,NA,NA,NA,14.7,2
"5410","2020 / 02","Staten Island","03",4510.2,632,579.9,NA,25,NA,NA,5
"5411","2020 / 02","Manhattan","02",1717.3,412.4,310,NA,22.9,NA,NA,1
"5412","2020 / 02","Manhattan","07",4253.6,1017.3,758.6,36.2,37.1,NA,NA,1
"5413","2020 / 02","Bronx","12",3081.5,302.5,502.5,104.3,NA,NA,NA,2
"5414","2020 / 02","Brooklyn","01",5065.6,605.8,451.6,44.9,NA,11.5,NA,3
"5415","2020 / 02","Brooklyn","10",2818.5,418,408.6,51.5,NA,14.5,NA,3
"5416","2020 / 02","Staten Island","01",4212.7,515.5,572.9,48.9,NA,NA,NA,5
"5417","2020 / 02","Bronx","02",1346.8,92.5,138.4,NA,NA,NA,NA,2
"5418","2020 / 03","Brooklyn","08",2539.6,317.9,322.1,NA,11.2,NA,NA,3
"5419","2020 / 03","Brooklyn","11",4793.8,591.6,550.8,42.7,NA,9.2,NA,3
"5420","2020 / 03","Bronx","12",3480,351.9,562.9,115.4,NA,NA,NA,2
"5421","2020 / 03","Manhattan","12",4534.5,421.5,502.1,36.4,26.7,NA,NA,1
"5422","2020 / 03","Brooklyn","16",2027,93.8,151.8,18.2,NA,NA,NA,3
"5423","2020 / 03","Bronx","08",2197.2,322.3,399.1,56.7,NA,NA,NA,2
"5424","2020 / 03","Bronx","10",2277.1,291.5,412.8,59.1,NA,NA,NA,2
"5425","2020 / 03","Bronx","11",2806.9,274.8,359.2,65.1,NA,NA,NA,2
"5426","2020 / 03","Manhattan","01",1311.2,377.9,251.6,20.2,NA,NA,NA,1
"5427","2020 / 03","Queens","05",4562.3,594.1,762.2,115.5,40.8,NA,NA,4
"5428","2020 / 03","Brooklyn","13",1915.1,190.5,227.6,18,NA,NA,NA,3
"5429","2020 / 04","Manhattan","05",900.2,198.8,176.8,NA,NA,NA,NA,1
"5430","2020 / 04","Brooklyn","08",2396.8,286.2,324.9,NA,NA,NA,NA,3
"5431","2020 / 04","Manhattan","01",924,266.3,241.2,13.9,NA,NA,NA,1
"5432","2020 / 04","Queens","06",2609.8,390.7,452.9,NA,NA,NA,NA,4
"5433","2020 / 04","Queens","12",6478.1,444.2,958.4,NA,NA,NA,NA,4
"5434","2020 / 04","Queens","08",3384.3,430.1,468.7,71.7,NA,NA,NA,4
"5435","2020 / 05","Queens","05",5577.8,601.6,1009,8.4,NA,NA,NA,4
"5436","2020 / 05","Queens","14",3537.2,285.6,370.7,8.4,NA,NA,NA,4
"5437","2020 / 05","Brooklyn","10",3591.3,489.8,532.6,4.4,NA,NA,NA,3
"5438","2020 / 05","Manhattan","06",2345.4,454.8,442.6,3.6,NA,NA,NA,1
"5439","2020 / 05","Queens","06",2924.6,412.3,442.4,NA,NA,NA,NA,4
"5440","2020 / 06","Manhattan","06",2637.9,426.8,387.5,NA,NA,NA,NA,1
"5441","2020 / 06","Queens","10",4817.9,442.3,814.7,NA,NA,NA,NA,4
"5442","2020 / 06","Manhattan","09",2331.2,259.9,290.4,NA,NA,NA,NA,1
"5443","2020 / 06","Queens","11",3693.3,533.5,592,NA,NA,NA,NA,4
"5444","2020 / 06","Bronx","12",4863.3,487.1,797.5,NA,NA,NA,NA,2
"5445","2020 / 06","Bronx","08",2686.7,412.5,487.6,NA,NA,NA,NA,2
"5446","2020 / 06","Brooklyn","16",2596.3,142.4,217.4,NA,NA,NA,NA,3
"5447","2020 / 07","Bronx","08",2663.6,377.2,443.8,NA,NA,NA,NA,2
"5448","2020 / 07","Queens","12",8575.7,628.8,1250.5,NA,NA,NA,NA,4
"5449","2020 / 07","Queens","06",3249.2,465.8,459,NA,NA,NA,NA,4
"5450","2020 / 07","Brooklyn","01",5147.7,755.8,663.2,NA,NA,NA,NA,3
"5451","2020 / 07","Queens","01",4669.5,696.7,764.7,NA,NA,NA,NA,4
"5452","2020 / 07","Manhattan","04",2449.5,494.5,446.4,NA,NA,NA,NA,1
"5453","2020 / 07","Brooklyn","11",5762.9,655.5,710.2,NA,NA,NA,NA,3
"5454","2020 / 07","Manhattan","11",2457.2,252.1,230.8,NA,NA,NA,NA,1
"5455","2020 / 07","Queens","10",4804.9,428.4,773.2,NA,NA,NA,NA,4
"5456","2020 / 07","Brooklyn","02",2663.6,502.2,478.1,NA,NA,NA,NA,3
"5457","2020 / 07","Bronx","01",2411,166.2,182.3,NA,NA,NA,NA,2
"5458","2020 / 07","Manhattan","01",1175.9,327.2,251.1,NA,NA,NA,NA,1
"5459","2020 / 08","Queens","03",5808.5,427.5,635.4,NA,NA,NA,NA,4
"5460","2020 / 08","Brooklyn","12",5601.7,606.4,389.4,NA,NA,NA,NA,3
"5461","2020 / 08","Queens","14",3911.9,285.1,362.1,NA,NA,NA,NA,4
"5462","2020 / 08","Brooklyn","04",3802.3,355.7,488,NA,NA,NA,NA,3
"5463","2020 / 08","Queens","05",5638.6,602.9,860.4,NA,NA,NA,NA,4
"5464","2020 / 08","Bronx","01",2430.6,164.8,182.7,NA,NA,NA,NA,2
"5465","2020 / 08","Brooklyn","11",5515.4,608.3,648.2,NA,NA,NA,NA,3
"5466","2020 / 09","Brooklyn","14",5222.1,491,497.3,NA,NA,NA,NA,3
"5467","2020 / 09","Queens","02",3434.5,475.1,465.3,NA,NA,NA,NA,4
"5468","2020 / 09","Queens","05",5552.1,647.6,867.9,NA,NA,NA,NA,4
"5469","2020 / 09","Queens","01",4416.9,675.1,723.6,NA,NA,NA,NA,4
"5470","2020 / 09","Manhattan","06",2793.8,515.8,391.2,NA,NA,NA,NA,1
"5471","2020 / 09","Queens","09",4600.2,428,748.1,NA,NA,NA,NA,4
"5472","2020 / 09","Queens","08",4266.4,489.9,468.4,NA,NA,NA,NA,4
"5473","2020 / 09","Bronx","06",2477.3,272.6,300.4,NA,NA,NA,NA,2
"5474","2020 / 09","Bronx","12",4504,434.2,684.9,NA,NA,NA,NA,2
"5475","2020 / 09","Bronx","10",2995.5,310.4,496.1,NA,NA,NA,NA,2
"5476","2020 / 09","Staten Island","02",4765.5,549.2,724.6,NA,NA,NA,NA,5
"5477","2020 / 09","Brooklyn","08",2974.2,382.4,367,NA,NA,NA,NA,3
"5478","2020 / 09","Bronx","02",1693.1,128.6,165.3,NA,NA,NA,NA,2
"5479","2020 / 10","Manhattan","09",2300.3,318,315.6,NA,NA,NA,NA,1
"5480","2020 / 10","Queens","05",5371.9,689.8,856.5,NA,NA,NA,NA,4
"5481","2020 / 10","Manhattan","05",1269.2,298.9,186.5,NA,NA,NA,NA,1
"5482","2020 / 10","Queens","11",3416.8,485.9,496,NA,NA,NA,NA,4
"5483","2020 / 10","Queens","04",4289.6,386.8,653.2,NA,NA,NA,NA,4
"5484","2020 / 10","Bronx","12",4405.8,444.6,648.6,NA,NA,NA,NA,2
"5485","2020 / 10","Brooklyn","07",3555,456.1,450.2,NA,NA,NA,NA,3
"5486","2020 / 11","Brooklyn","15",4946.5,554.5,512.7,NA,NA,NA,NA,3
"5487","2020 / 11","Brooklyn","10",3767.8,486.7,471,NA,NA,NA,NA,3
"5488","2020 / 11","Brooklyn","16",2382.1,112,185.7,NA,NA,NA,NA,3
"5489","2020 / 11","Manhattan","07",4425.6,953.8,728.4,NA,NA,NA,NA,1
"5490","2020 / 11","Manhattan","11",2195.4,209.5,189.4,NA,NA,NA,NA,1
"5491","2020 / 12","Brooklyn","16",2449,162.5,222,NA,NA,NA,NA,3
"5492","2020 / 12","Brooklyn","15",4869,685.1,602.6,NA,NA,NA,NA,3
"5493","2020 / 12","Manhattan","08",4829.9,1259,871.1,NA,NA,NA,NA,1
"5494","2020 / 12","Brooklyn","03",4404.9,561.3,503.1,NA,NA,NA,NA,3
"5495","2020 / 12","Manhattan","03",2773.5,389.9,354.4,NA,NA,NA,NA,1
"5496","2020 / 12","Brooklyn","13",2218.2,217.5,240.5,NA,NA,NA,NA,3
"5497","2020 / 12","Bronx","10",2779.9,403.7,474.4,NA,NA,NA,NA,2
"5498","2020 / 12","Bronx","03",2281.5,225.5,259.8,NA,NA,NA,NA,2
"5499","2020 / 12","Queens","06",2966.4,523.1,467.1,NA,NA,NA,NA,4
"5500","2020 / 12","Queens","14",3341.4,322.1,329,NA,NA,NA,NA,4
"5721","2020 / 12","Queens","7A",NA,NA,NA,NA,NA,7.5,NA,NA
"8334","2020 / 01","Brooklyn","08",2583.3,306.6,303.5,NA,15.7,NA,21.5,3
"8335","2020 / 01","Manhattan","11",2237.3,264.8,237.3,NA,NA,NA,12.5,1
"8336","2020 / 01","Brooklyn","12",6084.9,693.1,454.2,40.6,107.2,NA,7.3,3
"8337","2020 / 01","Manhattan","08",5085,1263.7,914.2,24,NA,NA,162,1
"8338","2020 / 01","Queens","10",3409.9,386.4,506.1,56.1,NA,NA,59,4
"8339","2020 / 01","Manhattan","01",1347.5,444.1,283,19.5,NA,NA,40.7,1
"8340","2020 / 01","Manhattan","02",1856.3,484.6,352.2,NA,27.1,NA,46,1
"8341","2020 / 01","Manhattan","06",2788.6,619.2,487,38.4,NA,NA,41,1
"8342","2020 / 01","Brooklyn","04",2947.4,297,403.6,NA,NA,NA,14.5,3
"8343","2020 / 01","Brooklyn","01",5299.1,714.1,545,53.3,NA,NA,44.5,3
"8344","2020 / 01","Queens","06",2749.6,459.8,414.8,NA,80.3,NA,6.4,4
"8345","2020 / 01","Manhattan","04",2303.8,541.2,460.7,35.6,NA,NA,29.7,1
"8346","2020 / 01","Bronx","06",2176.8,172.6,236.4,11.8,43.6,NA,18.4,2
"8347","2020 / 02","Bronx","11",2523.2,238.7,326,45.6,NA,NA,NA,2
"8348","2020 / 02","Bronx","05",3081.1,178.2,293.7,NA,NA,NA,NA,2
"8349","2020 / 02","Brooklyn","15",3924.1,508.9,443.7,51.6,NA,NA,NA,3
"8350","2020 / 02","Brooklyn","17",3646.5,258.6,382.4,NA,NA,NA,NA,3
"8351","2020 / 02","Queens","13",4030.4,346.9,719.6,127.2,NA,NA,NA,4
"8352","2020 / 02","Brooklyn","03",3452.5,330.8,325.7,NA,NA,NA,NA,3
"8353","2020 / 02","Queens","03",4172.5,315.1,435.8,NA,NA,NA,NA,4
"8354","2020 / 02","Bronx","06",1972.7,123.2,180.8,9,31.5,NA,NA,2
"8355","2020 / 02","Queens","04",3553.1,284.3,384.5,NA,NA,NA,NA,4
"8356","2020 / 03","Manhattan","08",4735.4,1128.5,824.2,16.7,NA,NA,NA,1
"8357","2020 / 03","Brooklyn","02",2372.5,514.1,440,79.7,19.8,NA,NA,3
"8358","2020 / 03","Brooklyn","06",1999.5,555.9,453.8,115.2,27.7,NA,NA,3
"8359","2020 / 03","Brooklyn","18",4845.4,526.4,609.2,NA,NA,NA,NA,3
"8360","2020 / 03","Brooklyn","15",4318.7,587.3,535.1,49,NA,NA,NA,3
"8361","2020 / 03","Bronx","07",3584.9,282.7,456.5,NA,NA,NA,NA,2
"8362","2020 / 03","Staten Island","02",4014.9,545.9,534.3,NA,20.4,NA,NA,5
"8363","2020 / 03","Brooklyn","10",3143.7,494.2,493.8,66.2,NA,NA,NA,3
"8364","2020 / 03","Queens","14",2763.7,248.9,266.3,69.5,NA,NA,NA,4
"8365","2020 / 03","Bronx","03",1955.4,139.8,219,NA,NA,NA,NA,2
"8366","2020 / 03","Manhattan","04",2278.7,461.3,394.3,37.3,NA,NA,NA,1
"8367","2020 / 04","Manhattan","10",2325.6,259.2,300.4,15.3,NA,NA,NA,1
"8368","2020 / 04","Staten Island","03",6130.2,812.2,905.4,NA,NA,NA,NA,5
"8369","2020 / 04","Bronx","01",1923.2,105.3,139.6,3.4,NA,NA,NA,2
"8370","2020 / 04","Bronx","11",2906.4,278,420.6,66,NA,NA,NA,2
"8371","2020 / 04","Bronx","05",3355.3,189.1,326.6,NA,NA,NA,NA,2
"8372","2020 / 04","Manhattan","11",1896.8,203.5,221.1,NA,NA,NA,NA,1
"8373","2020 / 05","Brooklyn","11",5251.3,607.5,614.6,3.1,NA,NA,NA,3
"8374","2020 / 05","Queens","04",4287.1,356.5,536.6,NA,NA,NA,NA,4
"8375","2020 / 05","Brooklyn","16",2325.3,142.4,220.4,4.1,NA,NA,NA,3
"8376","2020 / 05","Queens","09",4571.6,436,679.9,11.4,NA,NA,NA,4
"8377","2020 / 05","Bronx","02",1689.7,143.6,194.6,NA,NA,NA,NA,2
"8378","2020 / 06","Brooklyn","18",6653.2,662.1,842.6,NA,NA,NA,NA,3
"8379","2020 / 06","Brooklyn","07",3695.2,482.4,508.1,NA,NA,NA,NA,3
"8380","2020 / 06","Manhattan","08",4320.8,902.5,741.6,NA,NA,NA,NA,1
"8381","2020 / 06","Brooklyn","15",4932.7,598.7,627.6,NA,NA,NA,NA,3
"8382","2020 / 06","Brooklyn","03",4770.1,491.5,534.9,NA,NA,NA,NA,3
"8383","2020 / 06","Staten Island","03",7161.8,857.2,980.5,NA,NA,NA,NA,5
"8384","2020 / 06","Staten Island","02",5191.9,613.6,830.1,NA,NA,NA,NA,5
"8385","2020 / 06","Manhattan","03",3002.9,300.2,324.8,NA,NA,NA,NA,1
"8386","2020 / 06","Bronx","03",2354,240.5,276.5,NA,NA,NA,NA,2
"8387","2020 / 06","Manhattan","01",1207.8,286,224.9,NA,NA,NA,NA,1
"8388","2020 / 07","Staten Island","02",4921.8,602.7,789.1,NA,NA,NA,NA,5
"8389","2020 / 07","Manhattan","08",4280.1,963.4,746.5,NA,NA,NA,NA,1
